match,date,from_team,latitude_from,longitude_from,next_date,next_home,latitude_next,longitude_next,distance,talent
Oakland Roots SC vs New Mexico United,2025-05-24,Oakland Roots SC,37.7255905,-122.2324865,2025-05-25,FC Naples,26.168498,-81.685512,0.0869380173562847,0.1364402901338831
FC Naples vs Union Omaha,2025-05-25,FC Naples,26.168498,-81.685512,2025-05-28,Las Vegas Lights FC,36.17879868,-115.1350327,0.2350765967715988,0.2391032772615346
Las Vegas Lights FC vs Phoenix Rising FC,2025-05-28,Las Vegas Lights FC,36.17879868,-115.1350327,2025-06-04,Birmingham Legion FC,33.5133982,-86.8009311,0.4077242125093101,0.2167751278484906
Birmingham Legion FC vs Indy Eleven,2025-06-04,Birmingham Legion FC,33.5133982,-86.8009311,2025-06-06,Hartford Athletic,41.7539073,-72.661055,0.6481461496359369,0.1803959307480154
Hartford Athletic vs North Carolina FC,2025-06-06,Hartford Athletic,41.7539073,-72.661055,2025-06-07,Monterey Bay FC,36.652918,-121.809193,0.0371633490808742,0.2573329263039928
Monterey Bay FC vs Lexington SC,2025-06-07,Monterey Bay FC,36.652918,-121.809193,2025-06-12,Union Omaha,41.15111542,-96.10290527,0.4812743635146277,0.1539215116881332
Union Omaha vs Greenville Triumph SC,2025-06-12,Union Omaha,41.15111542,-96.10290527,2025-06-13,One Knoxville SC,35.97233,-83.915533,0.7251168840409565,0.1704986158054233
One Knoxville SC vs Richmond Kickers,2025-06-13,One Knoxville SC,35.97233,-83.915533,2025-06-14,Spokane Velocity FC,47.667363,-117.420367,0.3070830966472381,0.23435053152688
Spokane Velocity FC vs Forward Madison FC,2025-06-14,Spokane Velocity FC,47.667363,-117.420367,2025-06-15,Charlotte Independence,35.2198156,-80.8292123,0.2442770731512089,0.2569281774128298
Charlotte Independence vs Greenville Triumph SC,2025-06-15,Charlotte Independence,35.2198156,-80.8292123,2025-06-18,Birmingham Legion FC,33.5133982,-86.8009311,0.8676196938539773,0.2761366324016145
Birmingham Legion FC vs Sacramento Republic FC,2025-06-18,Birmingham Legion FC,33.5133982,-86.8009311,2025-06-20,Hartford Athletic,41.7539073,-72.661055,0.6481461496359369,0.235218379516126
Hartford Athletic vs Loudoun United FC,2025-06-20,Hartford Athletic,41.7539073,-72.661055,2025-06-21,Monterey Bay FC,36.652918,-121.809193,0.0371633490808742,0.334183145793492
Monterey Bay FC vs El Paso Locomotive FC,2025-06-21,Monterey Bay FC,36.652918,-121.809193,2025-06-25,Tampa Bay Rowdies,27.94493294,-82.53258514,0.1351794805377651,0.2896002728698088
Tampa Bay Rowdies vs Indy Eleven,2025-06-25,Tampa Bay Rowdies,27.94493294,-82.53258514,2025-06-28,AV Alta FC,34.7016636,-118.1748123,0.2125805968762972,0.1257598402105937
AV Alta FC vs FC Naples,2025-06-28,AV Alta FC,34.7016636,-118.1748123,2025-07-02,Portland Hearts of Pine,43.6593917,-70.2638855,0.0436724016951911,0.081192116789032
Portland Hearts of Pine vs AV Alta FC,2025-07-02,Portland Hearts of Pine,43.6593917,-70.2638855,2025-07-04,Las Vegas Lights FC,36.17879868,-115.1350327,0.1167010914786705,0.2700689828301775
